,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle,real_m2,real_m2_trend,real_m2_cycle,t_bill_3mo,t_bill_3mo_trend,t_bill_3mo_cycle,pce_inflation,pce_inflation_trend,pce_inflation_cycle,unemployment,unemployment_trend,unemployment_cycle
1985-07-01,44.916419334391904,44.28402056567952,0.014179512234496094,28.199878698299823,27.735448694073742,0.01660634517912829,8.418112487403759,8.309622845894852,0.012971410717101506,109.78839778224929,108.61907911615017,0.010707782125335186,48.85483610059906,48.804894069225774,0.001022776443064366,19.2792469351768,19.147415524131322,0.006861482097361371,2.5017088269604955e-05,2.4842811025516145e-05,0.006990706210631359,0.07106666666666667,0.07897602356917428,-0.007909356902507617,0.09573216556999874,0.08135440491720475,0.014377760652793989,0.07200000000000001,0.07361062472573429,-0.0016106247257342832
1985-10-01,45.117032822381034,44.60360697960404,0.011445113374032534,28.216838128654757,27.971766548579883,0.00872323260335417,8.726215056952778,8.349857043874563,0.044087301712225635,110.01526278291006,108.9786668397344,0.009466962731675466,49.14422409171028,49.07661952394506,0.0013765831355621039,19.29945410425917,19.206850787816595,0.0048097835004394796,2.517018305115267e-05,2.5061738295449983e-05,0.004317769309817976,0.07166666666666667,0.07698040013733004,-0.00531373347066337,0.08494154689071776,0.08011363265375773,0.004827914236960024,0.07033333333333334,0.0722168678259668,-0.001883534492633454
1986-01-01,45.31404163990777,44.921362273205276,0.008703498371767981,28.38374261871337,28.207147158470793,0.006241147087990839,8.679602149533649,8.384578084770096,0.03458161616229516,109.30135884208978,109.33243890173894,-0.00028431157651986894,49.40176314958258,49.34820411992786,0.001084740307007781,19.430349057720026,19.265724536494183,0.008508641788530724,2.5291552825790173e-05,2.527411193320687e-05,0.0006898314640206848,0.06896666666666666,0.07514092566071194,-0.0061742589940452786,0.0711833954980412,0.07889775409770171,-0.007714358599660506,0.07033333333333334,0.07082337028015681,-0.0004900369468234661
1986-04-01,45.392633151329946,45.23604699843245,0.0034555575222632307,28.47643876039167,28.44060934202079,0.0012590049659340075,8.540936299252413,8.41363222640803,0.015017364213500084,108.71187076810453,109.67870507094912,-0.00885423389326867,49.74605730900334,49.61841248418704,0.00256922610861654,19.48516501995916,19.323883683879068,0.008311580414379183,2.5790807332582665e-05,2.5477777572768282e-05,0.012211519016188888,0.0614,0.07347757792300581,-0.01207757792300581,0.06327626144582443,0.07773147497680395,-0.014455213530979519,0.07166666666666667,0.06944500505079257,0.0022216616158741015
1986-07-01,45.69724248094757,45.54663726031737,0.003301160753524268,28.93177471356184,28.67125345433202,0.009045463193276149,8.289488150588806,8.4370582999095,-0.017645480939882496,108.9522779449829,110.0157363607824,-0.009713444045131858,50.03803380401833,49.88601655905481,0.003042658132642373,19.54769625251713,19.381276510454136,0.008549969035966054,2.625168552811676e-05,2.567053700060635e-05,0.022386283522159545,0.055233333333333336,0.07200647579602625,-0.01677314246269291,0.05920270079894041,0.07663467954470697,-0.01743197874576656,0.06966666666666665,0.06809633882727056,0.0015703278393960907
1986-10-01,45.80805374267695,45.85218364352809,-0.0009629018104089226,29.04104209026456,28.898176674087306,0.004931571697696757,8.281742432083929,8.454987010497403,-0.020703061123641398,109.45000195940607,110.34117500393127,-0.008109314855437866,50.25288769699103,50.14984353292288,0.002052617473349727,19.50785435347104,19.43795183307204,0.0035897367294972504,2.6609417901232105e-05,2.585034278911716e-05,0.028941347994386746,0.05353333333333333,0.07073618966538593,-0.017202856332052603,0.06239008419083247,0.07561821754659641,-0.013228133355763935,0.06833333333333333,0.06679332683749718,0.0015400064958361465
1987-01-01,45.988376066791744,46.15181101567364,-0.003547531765650369,29.05599006982447,29.12061661888775,-0.0022217375445343635,8.4844484756295,8.467468168266636,0.0020033502286076477,110.42307787448296,110.65196796204859,-0.0020707010914398083,50.428811332535986,50.40879363286022,0.0003970284686074521,19.44849017759056,19.494063381457092,-0.002340536020680073,2.6765934847578423e-05,2.6015479941354424e-05,0.028438248011104506,0.05536666666666666,0.0696648067026584,-0.014298140035991738,0.05661647627466304,0.07468204374094177,-0.01806556746627873,0.06599999999999999,0.06555290576427847,0.00044709423572152074
1987-04-01,46.35053564631939,46.444598881338294,-0.0020273318793044837,29.44626916394302,29.33788332824419,0.0036875910913365395,8.434513680327576,8.474453066759116,-0.004724056922604802,110.71131465730323,110.94447193810257,-0.002103778749695806,50.679954818147785,50.66181219805907,0.0003580482325640233,19.53446631641348,19.549810657642514,-0.0007851925738613375,2.6730555093621174e-05,2.6164693967446976e-05,0.02139635312590471,0.05656666666666666,0.06877966229420956,-0.012212995627542904,0.07079681397854287,0.0738178453028652,-0.0030210313243223264,0.06266666666666666,0.0643929747944803,-0.0017263081278136444
1987-07-01,46.62769072309608,46.72950619036535,-0.002181203185234626,29.75812631798994,29.54923163241565,0.0070445070109581565,8.366695753719455,8.47591420038604,-0.012969483697217399,111.1787905380415,111.21487065942169,-0.0003244707740543973,50.91980407641379,50.90783974785613,0.00023499175986740894,19.565167239725675,19.605366853824528,-0.002052544298530634,2.662268449380602e-05,2.6297203976546393e-05,0.012301032025639813,0.06043333333333334,0.06805915548888283,-0.007625822155549494,0.0686126872985442,0.07300601842782234,-0.004393331129278144,0.06,0.0633317125488659,-0.0033317125488658977
1987-10-01,47.31160296492818,47.00541431184512,0.006492778028142521,29.767385258017416,29.75397084109964,0.0004507429945834751,8.941402971046482,8.471809821632892,0.05394834858162012,112.06641633307852,111.45917751758121,0.00543329556923311,51.14497610768307,51.14581234229529,-1.635014501122356e-05,19.719315246579022,19.660897530743693,0.002966858458396615,2.6641465108490473e-05,2.6412603628989045e-05,0.008627534307628082,0.058633333333333336,0.06747405221325437,-0.00884071887992103,0.06709175371096054,0.07222507116669115,-0.005133317455730604,0.05833333333333333,0.062386218705618515,-0.004052885372285188
