,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend,real_m2,real_m2_trend,t_bill_3mo,t_bill_3mo_trend,pce_inflation,pce_inflation_trend,unemployment,unemployment_trend
1997-04-01,56.558604713569245,56.62680200912095,36.32510675303176,36.77083460729911,10.55785407851466,10.39448206962604,118.40218040499897,117.82542225197244,57.75135333794688,58.15032230431237,21.798790572515653,21.841764160616947,2.576493557643784e-05,2.6145593923847465e-05,0.05046666666666667,0.04898502954660564,0.04803525486739879,0.05914513648678292,0.05,0.05017854571145168
1997-07-01,57.11670096899874,57.024191086980025,36.78527179829455,37.05088764990091,10.715788071228763,10.538105772469072,118.77872534800362,118.11809680410269,58.264218712764425,58.5866295312266,21.900628898497732,21.902225303676197,2.5986662928375577e-05,2.6320997418607843e-05,0.05046666666666667,0.048979740303212047,0.057763524728860816,0.05956030001819634,0.048666666666666664,0.049305766642226134
1997-10-01,57.44648498244313,57.420311053101464,37.1158953444766,37.33497134836973,10.777254481674541,10.677265472441047,119.00064670992148,118.36690654862961,58.78727777429904,59.03813431224396,21.931659971649097,21.965126247197734,2.6234347888801882e-05,2.651187919087864e-05,0.0509,0.04887231590195587,0.05807225165769525,0.05997332581741405,0.04666666666666667,0.04849964833622201
1998-01-01,57.89057334608758,57.8129612118202,37.355497185923994,37.62202636683372,11.18001936667833,10.810611675091035,119.47599609886966,118.567193988537,59.338461821415876,59.503026309750084,21.972121781437508,22.03047537913914,2.66154249699984e-05,2.6716934857086467e-05,0.05053333333333334,0.04865794870349665,0.053051984086447845,0.060369007703748964,0.04633333333333333,0.04777068796603015
1998-04-01,58.281074696587694,58.19989962856151,37.89739373849419,37.91082042855315,11.018371171814861,10.93681116383804,119.80017359847636,118.71472450014666,59.9556457178559,59.979279288871425,22.001584371527322,22.098260707948143,2.6981945936819056e-05,2.693465739940004e-05,0.04976666666666667,0.04833309837105515,0.06603570982735807,0.06073095132516414,0.044,0.04712823709069796
1998-07-01,58.84512653302089,58.57887787532725,38.237286897807216,38.19991304164165,11.236151288361416,11.054725930095472,119.60741323937891,118.80587763307317,60.4903872725707,60.464696694416936,22.168779553099203,22.168433903911723,2.7245715659620582e-05,2.7163436128291617e-05,0.04823333333333333,0.04789539668324577,0.062315082559638135,0.06103818918986177,0.04533333333333333,0.04658074892262737
1998-10-01,59.617246116091,58.947647144096166,38.668742899834115,38.487811230998936,11.526807487736468,11.163250850474553,120.71946090667652,118.83777562098531,61.04911301134432,60.956994076996814,22.253236004679877,22.24088559484593,2.779361185683024e-05,2.7401641596468483e-05,0.04253333333333334,0.047343371398867684,0.064380845432507,0.06127306928010796,0.044333333333333336,0.046134721526038605
1999-01-01,59.954821513376665,59.304079678318544,38.851647021860025,38.773001684983946,11.797488253280603,11.261386428196985,120.07882900171023,118.80812300773776,61.61144511620761,61.453826795474306,22.384825464748122,22.315505647142288,2.8075327281659437e-05,2.7647642146135153e-05,0.04406666666666667,0.04667576148712636,0.06662597691240979,0.06141873763652493,0.043,0.04579587333040862
1999-04-01,60.25465308512794,59.64642987107033,39.38442938025842,39.054043005112256,11.693549802441042,11.348363726706737,120.42025813325125,118.7158855535108,62.28760004436946,61.95283043772863,22.369670974722844,22.392190599324667,2.8305232306218418e-05,2.7899995582862196e-05,0.044533333333333334,0.045888299643436326,0.06733468596840564,0.061460282659830154,0.042666666666666665,0.04556879689759391
1999-07-01,60.86371622437047,59.97333610364691,39.78584896554422,39.32950564116641,11.904716372992764,11.423763385099628,120.83560574563424,118.5609184593027,62.89639523310939,62.451662895155245,22.468652445849745,22.470879445214525,2.854493331041906e-05,2.815747628702508e-05,0.04649999999999999,0.0449750878789493,0.06783742989104158,0.06138604727528851,0.042333333333333334,0.04545633736861946
