,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1964-07-01,31.698189051634373,31.836550738314497,19.074034662117292,19.015145101428,5.1590156092351815,5.295539343959422,108.5834007207245,109.3295743503052,30.647653003491413,30.962458213332855,16.132937943991138,16.073794257741714
1964-10-01,31.657380912759873,32.144770423330975,19.021468017499195,19.178319672611465,5.2201249168211135,5.367785917387825,109.16226573880219,109.63425081325121,30.831539908182627,31.19067851547711,16.022998035816485,16.158492876444075
1965-01-01,32.28731152424151,32.45440908302837,19.329069675522568,19.342478087634323,5.692056137450467,5.439055183755444,110.3996597232383,109.94105188158153,31.030715557331483,31.42895734476817,16.1860174738304,16.241216788865337
1965-04-01,32.56308109566769,32.76351887276095,19.472177629927693,19.506697035767957,5.665921080055454,5.508396406976289,111.04412750375623,110.24323701774593,31.34437468643298,31.67664283876184,16.20547498920244,16.321773293213603
1965-07-01,33.17835881623984,33.069971915050715,19.739211359740708,19.67001339644681,5.810882991669638,5.5749739586218015,110.9419072244022,110.53427963529117,31.663439298608765,31.932810590697567,16.46310266832044,16.39993248219214
1965-10-01,33.82856692634292,33.37143607258984,20.149082076666,19.831410742302385,5.862016517997788,5.638019602585153,111.62280463570815,110.80808861193614,32.00684632143194,32.19629532212461,16.65610542321511,16.475388110656652
1966-01-01,34.55998377146057,33.66556975110919,20.418748640097558,19.989885170728762,6.262833635165287,5.696889521385221,112.92910975769534,111.05877556523764,32.372264835176594,32.46572142954475,16.821061065548726,16.547870022845753
1966-04-01,34.58046348746466,33.95024842122871,20.41322200666208,20.14460413147215,6.164531946610749,5.751067455900557,113.71956985364523,111.28092202040109,32.82140408857789,32.73954562652557,16.67428403057372,16.617218861304554
1966-07-01,34.77369890457325,34.22385193625123,20.54637463879747,20.294983266821074,6.075102717225727,5.8003774222191815,113.92746687161454,111.4702505918918,33.22887854954293,33.016111737028695,16.67539723216531,16.683445775874233
1966-10-01,34.95517320210047,34.485123541042604,20.55693155593213,20.44059576662958,6.118294192732484,5.844908229623765,113.28613509952507,111.62399512239605,33.59552230728383,33.29375834246623,16.759549868683237,16.746600412152755
1967-01-01,35.14796422326706,34.73313608785342,20.58144240017142,20.58116739066741,5.946096069143648,5.884937791974018,112.7799767387781,111.7409303868576,33.949166787981305,33.57090234450304,16.83927767557789,16.806730415465893
1967-04-01,35.03761538105913,34.96725546633061,20.777763234973225,20.716496680418047,5.674432735188722,5.92093488673826,111.66991891490471,111.8208953579207,34.23297014403849,33.84609936322588,16.845530102335157,16.863894450173653
1967-07-01,35.196270167710914,35.187116351686846,20.775136305761357,20.846384053797824,5.810295318607807,5.953429592848109,111.48914812216182,111.86441265715071,34.39848417114312,34.11809856883351,16.911065551598615,16.91817449559714
1967-10-01,35.30073933719955,35.39241362339701,20.755347631276052,20.97067072177204,5.913353125236716,5.982813201901916,111.4892960395671,111.87194740697477,34.605039136822626,34.385856670124035,16.9257430356266,16.969643948511838
1968-01-01,35.88028561507033,35.582865523743074,21.15984672587729,21.08915612239278,6.0085936303772,6.009399829996548,111.25046443552318,111.84376502272875,34.852270495062555,34.648479754413415,17.184745261684807,17.018374410104265
1968-04-01,36.358070601235184,35.75815068824001,21.402660951071308,21.201505606552526,6.184939182541038,6.033470230540084,111.93887329316566,111.77992565590516,35.13214591947997,34.90519133358708,17.2954099786876,17.064412335735483
1968-07-01,36.48988998921317,35.91815253495367,21.726111009358537,21.307429442980837,5.974659420177923,6.055313180199928,112.26519769364613,111.68015224666661,35.42184157620616,35.155327934521175,17.2755780061971,17.107910265404644
